_id,Date,Price,Open,High,Low,Vol,Change,Exchange,Country,Currency,Source
ObjectId("5c6f6bf1afdb6c3febf8055e"),""2018-06-07T00:00:00.000Z"",34631.21,34660,34700,34320,2460,0.84,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8055f"),""2018-06-06T00:00:00.000Z"",34343.63,34600,34680,34319,1800,-0.91,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80560"),""2018-06-05T00:00:00.000Z"",34660,33700,34660,33700,1560,3.8,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80561"),""2018-06-04T00:00:00.000Z"",33390.42,32903.23,33395,32903.23,1080,1.91,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80562"),""2018-06-01T00:00:00.000Z"",32764.35,32500,32790,32450,2510,0.64,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80563"),""2018-05-31T00:00:00.000Z"",32555,32360,32680,32360,2680,1.35,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80564"),""2018-05-30T00:00:00.000Z"",32121.34,31906,32180,31880,2380,0.36,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80565"),""2018-05-29T00:00:00.000Z"",32005.92,31698,32010,31670.01,1240,1.42,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80566"),""2018-05-28T00:00:00.000Z"",31559,31559,31559,31559,50,0.3,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80567"),""2018-05-25T00:00:00.000Z"",31464.99,31630,31668,31440,790,-0.19,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80568"),""2018-05-24T00:00:00.000Z"",31523.5,31455,31652.79,31455,1370,0.74,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf80569"),""2018-05-23T00:00:00.000Z"",31290.67,31260,31330,31000,1420,-0.07,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8056a"),""2018-05-22T00:00:00.000Z"",31312.43,31300,31323,31116.22,600,-0.5,BMV,Mexico,MXN,Investing.com
ObjectId("5c6f6bf1afdb6c3febf8056b"),""2018-05-21T00:00:00.000Z"",31468.82,31600,31711.99,31300,700,0.22,BMV,Mexico,MXN,Investing.com
