Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
26-Oct-18,"1,444.53","1,458.00","1,471.13","1,387.00",48.72K,-6.08%,XETRA,Germany,EUR
25-Oct-18,"1,538.05","1,483.00","1,539.51","1,469.00",11.44K,0.92%,XETRA,Germany,EUR
24-Oct-18,"1,523.96","1,543.51","1,566.71","1,521.00",7.04K,0.78%,XETRA,Germany,EUR
23-Oct-18,"1,512.12","1,538.01","1,544.62","1,496.47",7.19K,-3.43%,XETRA,Germany,EUR
22-Oct-18,"1,565.90","1,544.99","1,574.27","1,531.00",4.87K,0.54%,XETRA,Germany,EUR
19-Oct-18,"1,557.42","1,563.00","1,574.08","1,548.79",8.74K,0.15%,XETRA,Germany,EUR
18-Oct-18,"1,555.08","1,587.00","1,595.00","1,555.08",5.93K,-1.80%,XETRA,Germany,EUR
17-Oct-18,"1,583.55","1,617.82","1,618.00","1,565.37",11.60K,2.63%,XETRA,Germany,EUR
16-Oct-18,"1,543.01","1,528.29","1,549.00","1,520.29",6.21K,0.96%,XETRA,Germany,EUR
15-Oct-18,"1,528.32","1,538.00","1,556.92","1,497.70",9.67K,-0.95%,XETRA,Germany,EUR
12-Oct-18,"1,543.04","1,530.00","1,567.39","1,524.00",23.52K,4.64%,XETRA,Germany,EUR
11-Oct-18,"1,474.57","1,467.21","1,515.36","1,450.20",71.89K,-5.66%,XETRA,Germany,EUR
10-Oct-18,"1,563.00","1,634.99","1,634.99","1,556.00",11.28K,-4.94%,XETRA,Germany,EUR
9-Oct-18,"1,644.23","1,620.51","1,651.00","1,614.01",5.71K,1.75%,XETRA,Germany,EUR
8-Oct-18,"1,616.00","1,640.00","1,659.86","1,616.00",6.95K,-1.52%,XETRA,Germany,EUR
5-Oct-18,"1,640.99","1,669.89","1,670.82","1,640.99",5.60K,-1.44%,XETRA,Germany,EUR
4-Oct-18,"1,664.89","1,700.00","1,700.51","1,663.06",9.49K,-4.31%,XETRA,Germany,EUR
2-Oct-18,"1,739.95","1,738.95","1,741.00","1,714.15",9.40K,-0.56%,XETRA,Germany,EUR
1-Oct-18,"1,749.82","1,746.99","1,752.28","1,737.01",4.64K,0.74%,XETRA,Germany,EUR
28-Sep-18,"1,737.01","1,733.01","1,743.69","1,722.75",29.61K,1.03%,XETRA,Germany,EUR
27-Sep-18,"1,719.25","1,693.00","1,723.12","1,690.00",6.52K,1.67%,XETRA,Germany,EUR
26-Sep-18,"1,690.95","1,688.06","1,690.95","1,673.19",5.69K,2.09%,XETRA,Germany,EUR
25-Sep-18,"1,656.36","1,651.01","1,660.00","1,646.04",3.02K,1.54%,XETRA,Germany,EUR
24-Sep-18,"1,631.30","1,625.99","1,631.30","1,584.00",11.06K,-1.03%,XETRA,Germany,EUR
21-Sep-18,"1,648.29","1,658.20","1,668.10","1,638.00",3.83K,-0.68%,XETRA,Germany,EUR
20-Sep-18,"1,659.62","1,649.99","1,659.62","1,644.49",3.18K,0.94%,XETRA,Germany,EUR
19-Sep-18,"1,644.20","1,674.00","1,674.49","1,634.00",4.92K,-1.75%,XETRA,Germany,EUR
18-Sep-18,"1,673.49","1,627.00","1,674.84","1,621.01",4.91K,1.62%,XETRA,Germany,EUR
17-Sep-18,"1,646.75","1,693.60","1,694.00","1,615.25",8.76K,-2.83%,XETRA,Germany,EUR
14-Sep-18,"1,694.67","1,705.01","1,710.00","1,690.85",7.69K,-1.04%,XETRA,Germany,EUR
13-Sep-18,"1,712.50","1,715.00","1,720.00","1,704.22",9.08K,0.10%,XETRA,Germany,EUR
