Date,Price,Open,High,Low,Vol.,Change %,Exchange,Country,Currency
25-Jul-18,"34,707.18","34,299.01","34,800.00","34,270.28",0.67K,0.57%,BMV,Mexico,MXN
24-Jul-18,"34,511.19","34,525.00","34,669.00","34,220.00",2.23K,1.28%,BMV,Mexico,MXN
23-Jul-18,"34,075.41","34,384.00","34,485.09","34,020.00",0.83K,-1.80%,BMV,Mexico,MXN
20-Jul-18,"34,700.00","34,710.00","34,879.00","34,504.31",0.82K,0.33%,BMV,Mexico,MXN
19-Jul-18,"34,585.00","35,099.00","35,115.00","34,565.00",0.79K,-0.69%,BMV,Mexico,MXN
18-Jul-18,"34,826.00","35,000.00","35,190.00","34,639.00",0.98K,-0.38%,BMV,Mexico,MXN
17-Jul-18,"34,957.26","34,001.00","34,957.26","34,001.00",4.01K,1.92%,BMV,Mexico,MXN
16-Jul-18,"34,300.29","34,279.34","34,729.74","34,279.34",0.78K,-0.20%,BMV,Mexico,MXN
13-Jul-18,"34,370.08","34,250.01","34,410.00","34,093.82",1.36K,1.01%,BMV,Mexico,MXN
12-Jul-18,"34,025.02","33,480.00","34,063.76","33,430.01",0.89K,1.61%,BMV,Mexico,MXN
11-Jul-18,"33,486.87","33,210.00","33,796.97","33,090.00",0.50K,1.83%,BMV,Mexico,MXN
10-Jul-18,"32,884.11","33,340.00","33,340.00","32,884.11",0.67K,-1.30%,BMV,Mexico,MXN
9-Jul-18,"33,316.25","32,882.00","33,340.00","32,882.00",4.48K,2.14%,BMV,Mexico,MXN
6-Jul-18,"32,618.66","32,566.00","32,720.00","32,546.00",2.29K,-0.16%,BMV,Mexico,MXN
5-Jul-18,"32,670.00","33,150.00","33,150.00","32,406.00",6.97K,-1.82%,BMV,Mexico,MXN
3-Jul-18,"33,276.00","33,715.85","33,850.00","33,234.85",1.03K,-2.67%,BMV,Mexico,MXN
2-Jul-18,"34,189.96","33,903.55","34,240.00","33,903.55",9.98K,0.84%,BMV,Mexico,MXN
29-Jun-18,"33,903.55","33,840.00","34,043.54","33,530.00",4.65K,0.83%,BMV,Mexico,MXN
28-Jun-18,"33,625.45","33,155.72","33,650.00","33,155.72",7.95K,0.14%,BMV,Mexico,MXN
27-Jun-18,"33,578.38","34,100.00","34,120.50","33,560.00",0.89K,-0.48%,BMV,Mexico,MXN
26-Jun-18,"33,740.97","33,125.30","33,820.00","33,125.30",1.79K,2.22%,BMV,Mexico,MXN
25-Jun-18,"33,009.23","34,383.34","34,383.34","32,824.34",2.41K,-4.04%,BMV,Mexico,MXN
22-Jun-18,"34,399.26","35,000.01","35,000.01","34,383.34",6.11K,-2.07%,BMV,Mexico,MXN
21-Jun-18,"35,127.23","35,500.01","35,532.10","35,083.00",2.28K,-1.70%,BMV,Mexico,MXN
20-Jun-18,"35,734.23","35,553.00","35,900.00","35,553.00",7.78K,0.27%,BMV,Mexico,MXN
19-Jun-18,"35,636.66","35,290.00","35,654.40","35,060.00",1.84K,0.41%,BMV,Mexico,MXN
